COL Ctrl,COL Shave,predicted prob
0,2,0.1
52,49,0.9
4,8,0.9
4,5,0.9
3,6,0.891
0,6,0.878
0,5,0.878
1,6,0.878
0,4,0.878
0,5,0.878
0,1,0.878
0,2,0.9
0,1,0.875
0,7,0.9
18,31,0.5
10,12,0.5
8,19,0.5
0,4,0.5
9,10,0.5
3,5,0.5
0,0,0.5
3,5,0.5
4,8,0.5
5,4,0.5
0,4,0.5
3,3,0.5
3,3,0.5
4,2,0.5
5,4,0.5
0,2,0.5
0,3,0.5
1,1,0.5
0,1,0.5
1,3,0.5
0,2,0.5
0,0,0.5
0,1,0.5
0,2,0.5
70,110,0.9
47,112,0.9
19,23,0.9
11,16,0.9
2,20,0.9
5,5,0.9
0,2,0.9
1,4,0.9
0,3,0.9
0,7,0.9
0,0,0.9
4,3,0.9
0,1,0.9
0,2,0.9
1,0,0.9
0,1,0.9
1,3,0.9
0,2,0.9
0,2,0.9
0,1,0.9
0,0,0.9
0,1,0.9
0,3,0.9
0,1,0.9
0,0,0.9
0,2,0.9
3,4,0.5
4,7,0.828
43,44,0.25
7,16,0.25
9,15,0.25
0,18,0.25
2,18,0.25
4,7,0.25
7,13,0.25
8,8,0.25
4,6,0.25
1,8,0.25
4,6,0.25
1,5,0.25
3,5,0.25
0,7,0.25
8,8,0.25
2,4,0.25
1,8,0.25
4,6,0.25
0,3,0.25
3,5,0.25
0,9,0.25
2,2,0.25
3,3,0.25
0,4,0.25
0,3,0.25
2,2,0.25
0,2,0.25
0,0,0.25
0,2,0.25
0,3,0.25
0,4,0.25
0,2,0.25
3,3,0.25
1,1,0.25
0,4,0.25
0,3,0.25
0,3,0.25
1,3,0.25
0,2,0.25
0,2,0.25
0,1,0.25
0,1,0.25
0,1,0.25
0,1,0.25
0,0,0.25
0,0,0.25
0,1,0.25
0,3,0.25
0,1,0.25
0,1,0.25
0,1,0.25
0,1,0.25
0,1,0.25
0,0,0.25
0,2,0.25
0,3,0.25
0,1,0.25
0,0,0.25
0,1,0.25
0,2,0.25
0,3,0.25
0,0,0.25
0,1,0.25
0,0,0.25
0,2,0.25
0,2,0.25
0,0,0.25
19,25,0.9
24,29,0.9
9,18,0.9
12,20,0.9
3,8,0.9
0,4,0.9
0,4,0.9
0,1,0.9
0,0,0.9
0,0,0.5
0,2,0.25
0,1,0.25
62,87,0.9
3,55,0.9
8,28,0.9
13,6,0.9
0,2,0.9
2,13,0.9
7,7,0.9
2,4,0.9
0,0,0.9
0,2,0.9
0,13,0.9
0,3,0.9
0,3,0.9
2,2,0.9
0,0,0.9
0,2,0.9
0,4,0.9
0,0,0.9
0,4,0.9
1,2,0.9
1,2,0.9
0,3,0.9
0,1,0.9
0,2,0.9
0,0,0.9
9,27,0.1
17,21,0.1
4,21,0.1
18,24,0.1
29,24,0.1
6,8,0.1
9,17,0.1
13,14,0.1
11,14,0.1
7,16,0.1
7,9,0.1
11,12,0.1
3,13,0.1
5,13,0.1
3,7,0.1
5,10,0.1
2,8,0.1
4,7,0.1
4,14,0.1
4,9,0.1
3,1,0.1
0,9,0.1
7,5,0.1
6,7,0.1
7,7,0.1
3,3,0.1
5,4,0.1
0,9,0.1
2,8,0.1
3,2,0.1
4,7,0.1
2,10,0.1
0,14,0.1
0,7,0.1
2,5,0.1
3,3,0.1
3,6,0.1
1,4,0.1
4,2,0.1
3,1,0.1
0,5,0.1
0,8,0.1
3,3,0.1
2,3,0.1
2,2,0.1
0,0,0.9
1,3,0.1
1,1,0.1
0,6,0.1
0,7,0.1
0,4,0.1
0,3,0.1
2,1,0.1
3,5,0.1
5,0,0.1
0,6,0.1
0,2,0.1
2,3,0.1
1,5,0.1
0,5,0.1
0,3,0.1
0,5,0.1
3,0,0.1
0,1,0.1
0,0,0.1
0,5,0.1
0,2,0.1
2,2,0.1
0,3,0.1
0,2,0.1
0,1,0.1
0,2,0.1
0,4,0.1
0,4,0.1
2,0,0.1
1,3,0.1
1,1,0.1
0,1,0.1
0,2,0.1
0,3,0.1
0,2,0.1
0,1,0.1
2,3,0.1
0,3,0.1
0,2,0.1
0,0,0.1
0,2,0.1
0,2,0.1
0,2,0.1
0,1,0.1
0,1,0.1
0,1,0.1
0,2,0.1
0,2,0.1
0,2,0.1
0,2,0.1
0,2,0.1
0,2,0.1
0,3,0.1
1,0,0.1
0,1,0.1
0,0,0.1
0,3,0.1
0,2,0.1
0,4,0.1
0,1,0.1
0,1,0.1
0,0,0.1
0,0,0.1
0,0,0.1
0,3,0.1
0,2,0.1
0,2,0.1
0,2,0.1
0,2,0.1
0,2,0.1
0,3,0.1
0,2,0.1
0,0,0.1
0,0,0.1
0,2,0.1
0,2,0.1
0,0,0.1
0,0,0.1
0,2,0.1
0,0,0.1
0,2,0.1
0,0,0.1
17,18,0.5
2,1,0.5
0,0,0.5
0,8,0.1
4,4,0.1
1,2,0.1
2,2,0.1
0,1,0.1
2,1,0.1
0,0,0.1
0,0,0.1
12,19,0.5
6,13,0.5
8,4,0.5
0,2,0.5
0,0,0.5
8,8,0.5
6,3,0.5
3,5,0.5
0,0,0.5
1,2,0.5
